admin2,year,fatalities
Abu Hamed,2012,0
Abu Hamed,2013,0
Abu Hamed,2015,4
Abu Jabra,2015,1
Abu Jubaiha,2012,16
Abu Jubaiha,2013,18
Abu Jubaiha,2014,44
Abu Jubaiha,2015,30
Abu Karinka,2013,44
Abu Karinka,2014,239
Abu Karinka,2015,154
Abu Zabad,2013,87
Abu Zabad,2015,2
Abyei PCA Area,2008,92
Abyei PCA Area,2009,0
Abyei PCA Area,2010,14
Abyei PCA Area,2011,289
Abyei PCA Area,2012,1
Abyei PCA Area,2013,63
Abyei PCA Area,2014,157
Abyei PCA Area,2015,120
Abyei-Muglad,2008,0
Abyei-Muglad,2012,7
Abyei-Muglad,2014,169
Abyei-Muglad,2015,10
Adila,2008,50
Adila,2013,5
Adila,2014,19
Adila,2015,0
Ailliet,2010,0
Ailliet,2012,8
Ailliet,2013,1
Ailliet,2014,86
Ailliet,2015,12
Al Buram,2012,0
Al Buram,2013,1
Al Buram,2014,2
Al Buram,2015,0
Al Tadamon,2012,7
Al Tadamon,2014,4
Al Tadamon,2015,21
Algolid,2008,0
Alwehda,2013,3
Assalaya,2014,3
Assalaya,2015,9
Atbara,2012,0
Atbara,2013,0
Atbara,2014,0
Babanusa,2009,0
Babanusa,2014,47
Bara,2009,0
Bara,2014,0
Barbar,2014,0
Basonda,2014,20
Basonda,2015,1
Bau,2011,0
Bau,2013,11
Bau,2014,103
Bau,2015,326
Beida,2012,9
Beida,2013,10
Beida,2014,4
Beida,2015,78
Bielel,2008,0
Bielel,2010,4
Bielel,2011,0
Bielel,2012,4
Bielel,2013,110
Bielel,2014,94
Bielel,2015,10
Buram,2008,24
Buram,2009,5
Buram,2010,55
Buram,2012,0
Buram,2013,22
Buram,2014,6
Buram,2015,62
Central Equatoria,2008,344
Central Equatoria,2009,100
Central Equatoria,2010,31
Central Equatoria,2011,102
Dalgo,2008,0
Dalgo,2013,1
Dalgo,2015,0
Dar El Salam,2008,80
Dar El Salam,2009,12
Dar El Salam,2010,46
Dar El Salam,2011,20
Dar El Salam,2012,135
Dar El Salam,2013,27
Dar El Salam,2014,25
Dar El Salam,2015,106
Dilling,2008,3
Dilling,2009,0
Dilling,2011,1
Dilling,2012,148
Dilling,2013,189
Dilling,2014,66
Dilling,2015,76
Dongola,2008,12
Dongola,2012,2
Dongola,2014,1
Dongola,2015,2
Eastern El Gezira,2012,0
Eastern Equatoria,2008,96
Eastern Equatoria,2009,39
Eastern Equatoria,2010,10
Eastern Equatoria,2011,6
Ed Daein,2008,70
Ed Daein,2009,1
Ed Daein,2012,65
Ed Daein,2013,131
Ed Daein,2014,165
Ed Daein,2015,53
Ed Damer,2011,0
Ed Damer,2012,0
Ed Damer,2013,0
Ed Damer,2014,1
Ed Damer,2015,0
El Abassiya,2009,0
El Abassiya,2011,0
El Abassiya,2012,198
El Abassiya,2013,122
El Abassiya,2014,12
El Abassiya,2015,10
El Damazine,2009,0
El Damazine,2011,0
El Damazine,2012,360
El Damazine,2013,97
El Damazine,2014,14
El Damazine,2015,67
El Dindir,2008,10
El Dindir,2013,0
El Dindir,2015,70
El Douiem,2012,0
El Douiem,2015,0
El Fashaga,2012,0
El Fashaga,2013,0
El Fashaga,2015,0
El Fasher,2008,141
El Fasher,2009,11
El Fasher,2010,242
El Fasher,2011,78
El Fasher,2012,81
El Fasher,2013,488
El Fasher,2014,232
El Fasher,2015,139
El Ferdous,2014,23
El Ferdous,2015,193
El Geneina,2008,14
El Geneina,2009,3
El Geneina,2010,40
El Geneina,2011,3
El Geneina,2012,25
El Geneina,2013,92
El Geneina,2014,12
El Geneina,2015,16
El Gutaina,2012,99
El Gutaina,2013,1
El Gutaina,2015,1
El Kamleen,2009,0
El Kurmuk,2011,4
El Kurmuk,2012,0
El Kurmuk,2013,57
El Kurmuk,2014,1
El Kurmuk,2015,12
El Malha,2008,19
El Malha,2009,0
El Malha,2010,0
El Malha,2011,0
El Malha,2012,69
El Malha,2013,5
El Malha,2014,4
El Malha,2015,20
El Manageel,2008,0
El Manageel,2013,0
El Matammah,2015,0
El Nehoud,2008,0
El Nehoud,2012,0
El Nehoud,2014,0
El Qaneb,2012,0
El Quresha,2010,5
El Radoom,2008,1
El Radoom,2012,1
El Radoom,2013,16
El Radoom,2014,15
El Radoom,2015,1
El Rahad,2015,0
El Roseires,2008,0
El Roseires,2011,0
El Roseires,2014,0
El Roseires,2015,0
El Salam,2011,0
El Salam,2012,1
El Salam,2013,14
El Salam,2014,183
El Salam,2015,14
El Sireaf,2014,0
Foro Baranga,2008,1
Foro Baranga,2013,2
Foro Baranga,2015,2
Gedaref,2011,8
Gedaref,2012,0
Gedaref,2013,1
Gedaref,2014,10
Gedaref,2015,25
Geissan,2011,0
Geissan,2013,32
Geissan,2015,3
Gereida,2009,0
Gereida,2011,1
Gereida,2012,5
Gereida,2013,23
Gereida,2014,34
Gereida,2015,21
Ghubaysh,2008,0
Ghubaysh,2010,0
Ghubaysh,2012,0
Ghubaysh,2013,187
Ghubaysh,2014,1
Ghubaysh,2015,8
Greater Wad Madani,2008,19
Greater Wad Madani,2011,0
Greater Wad Madani,2012,19
Greater Wad Madani,2013,29
Greater Wad Madani,2014,0
Greater Wad Madani,2015,0
Halayeb,2009,4
Halayeb,2014,0
Halayeb,2015,0
Halfa El Jadeeda,2012,0
Haya,2014,0
Jabal Aulia,2012,0
Jabal Aulia,2013,0
Jabal Aulia,2015,0
Jebel Moon,2008,26
Jebel Moon,2010,183
Jebel Moon,2012,22
Jebel Moon,2013,0
Jebel Moon,2014,5
Jebel Moon,2015,28
Jebrat El Sheikh,2008,0
Jebrat El Sheikh,2012,0
Jebrat El Sheikh,2015,1
Jungoli,2008,19
Jungoli,2009,1513
Jungoli,2010,75
Jungoli,2011,1175
Kadugli,2009,9
Kadugli,2011,1067
Kadugli,2012,240
Kadugli,2013,309
Kadugli,2014,331
Kadugli,2015,263
Kalimendo,2012,80
Kalimendo,2013,0
Kalimendo,2015,1
Karari,2008,0
Karari,2015,0
Kass,2008,0
Kass,2009,3
Kass,2010,37
Kass,2011,0
Kass,2012,47
Kass,2013,36
Kass,2014,15
Kass,2015,15
Kassala,2008,1
Kassala,2011,0
Kassala,2012,0
Kassala,2013,24
Kassala,2014,0
Kassala,2015,1
Katayla,2008,128
Katayla,2009,1
Katayla,2010,7
Katayla,2012,0
Katayla,2013,173
Katayla,2014,2
Katayla,2015,2
Kebkabiya,2008,0
Kebkabiya,2009,7
Kebkabiya,2010,41
Kebkabiya,2011,3
Kebkabiya,2012,97
Kebkabiya,2013,263
Kebkabiya,2014,126
Kebkabiya,2015,11
Khartoum,2008,4
Khartoum,2009,0
Khartoum,2010,0
Khartoum,2011,0
Khartoum,2012,7
Khartoum,2013,216
Khartoum,2014,5
Khartoum,2015,3
Khartoum North,2008,0
Khartoum North,2012,0
Khartoum North,2013,1
Khartoum North,2014,0
Khartoum North,2015,0
Khashm Ghirba,2015,1
Kornoi,2008,0
Kornoi,2012,0
Kornoi,2015,1
Kosti,2011,0
Kosti,2012,0
Kosti,2014,0
Kosti,2015,0
Kreinik,2008,0
Kreinik,2009,0
Kreinik,2012,3
Kreinik,2013,4
Kreinik,2014,19
Kreinik,2015,9
Kulbus,2008,0
Kulbus,2009,63
Kulbus,2011,0
Kulbus,2012,1
Kulbus,2013,0
Kulbus,2014,0
Kulbus,2015,1
Kutum,2008,3
Kutum,2009,4
Kutum,2010,18
Kutum,2011,2
Kutum,2012,22
Kutum,2013,8
Kutum,2014,368
Kutum,2015,186
Lagawa,2011,0
Lagawa,2013,9
Lagawa,2014,41
Lagawa,2015,4
Lakes,2008,128
Lakes,2009,93
Lakes,2010,239
Lakes,2011,161
Marshang,2008,5
Marshang,2010,5
Marshang,2011,1
Marshang,2013,86
Marshang,2014,13
Marshang,2015,6
Mellit,2008,2
Mellit,2009,8
Mellit,2010,0
Mellit,2011,10
Mellit,2012,12
Mellit,2013,11
Mellit,2014,202
Mellit,2015,185
Merawi,2012,0
Merawi,2015,0
Mukjar,2008,16
Mukjar,2010,1
Mukjar,2012,2
Mukjar,2013,661
Mukjar,2014,182
Mukjar,2015,31
Nertiti,2010,0
Nertiti,2012,12
Nertiti,2013,75
Nertiti,2014,16
Nertiti,2015,44
Northern Bahr el Ghazal,2009,5
Northern Bahr el Ghazal,2010,0
Northern Bahr el Ghazal,2011,0
Nyala,2008,58
Nyala,2009,45
Nyala,2010,122
Nyala,2011,44
Nyala,2012,62
Nyala,2013,877
Nyala,2014,288
Nyala,2015,136
Port Sudan,2009,0
Port Sudan,2010,0
Port Sudan,2011,0
Port Sudan,2012,1
Port Sudan,2013,4
Port Sudan,2014,3
Port Sudan,2015,0
Rabak,2012,0
Rabak,2014,7
Rahad El Berdi,2010,0
Rahad El Berdi,2015,0
Rashad,2008,0
Rashad,2009,20
Rashad,2010,0
Rashad,2011,110
Rashad,2012,12
Rashad,2013,1041
Rashad,2014,0
Rashad,2015,1
Rokoro,2012,199
Rokoro,2013,331
Rokoro,2014,250
Rokoro,2015,413
Saraf Omra,2008,0
Saraf Omra,2009,5
Saraf Omra,2012,7
Saraf Omra,2013,79
Saraf Omra,2014,66
Saraf Omra,2015,3
Sennar,2011,0
Sennar,2012,0
Sennar,2014,0
Sennar,2015,0
Sharg Jabel Marra,2010,9
Sharg Jabel Marra,2012,2
Sharg Jabel Marra,2013,0
Sharg Jabel Marra,2014,57
Sharg Jabel Marra,2015,9
Sharq El Nile,2014,0
Shattai,2009,0
Shattai,2011,3
Shattai,2013,0
Shattai,2014,17
Shattai,2015,7
Sheiria,2008,23
Sheiria,2009,0
Sheiria,2012,1
Sheiria,2013,32
Sheiria,2014,1
Sheiria,2015,7
Shendi,2012,0
Shendi,2013,0
Shendi,2014,1
Shiekan,2008,0
Shiekan,2009,253
Shiekan,2010,2
Shiekan,2012,22
Shiekan,2013,13
Shiekan,2014,2
Shiekan,2015,1
Singa,2012,3
Singa,2013,0
Singa,2014,0
Sirba,2008,127
Sirba,2012,0
Sirba,2013,3
Sirba,2014,6
Sirba,2015,2
Sodari,2014,0
Sodari,2015,0
Southern El Gezira,2015,7
Suakin,2014,0
Sunta,2013,1
Sunta,2015,0
Talodi,2009,7
Talodi,2011,121
Talodi,2012,142
Talodi,2013,44
Talodi,2014,56
Talodi,2015,121
Tawilla,2008,62
Tawilla,2012,8
Tawilla,2013,44
Tawilla,2014,64
Tawilla,2015,83
Tullus,2008,115
Tullus,2009,0
Tullus,2013,61
Tullus,2014,0
Tullus,2015,119
Um Buru,2012,0
Um Buru,2013,14
Um Durman,2012,0
Um Durman,2013,0
Um Durman,2015,0
Um Rawaba,2010,0
Um Rawaba,2013,36
Um Rawaba,2014,0
Um Rawaba,2015,0
Umm Badda,2008,136
Umm Badda,2009,0
Umm Badda,2010,0
Umm Badda,2011,1
Umm Badda,2012,1
Umm Badda,2013,81
Umm Badda,2014,0
Umm Badda,2015,7
Unity,2008,12
Unity,2009,58
Unity,2010,107
Unity,2011,76
Upper Nile,2008,24
Upper Nile,2009,323
Upper Nile,2010,47
Upper Nile,2011,210
Wad Banda,2011,31
Wad Banda,2013,100
Wadi Salih,2008,0
Wadi Salih,2009,0
Wadi Salih,2012,2
Wadi Salih,2013,196
Wadi Salih,2014,18
Wadi Salih,2015,9
Warap,2008,19
Warap,2009,55
Warap,2010,235
Warap,2011,464
Western Bahr el Ghazal,2008,0
Western Bahr el Ghazal,2009,14
Western Bahr el Ghazal,2010,10
Western Bahr el Ghazal,2011,0
Western Equatoria,2008,247
Western Equatoria,2009,212
Western Equatoria,2010,97
Western Equatoria,2011,53
Western Kassala,2015,2
Zalingei,2008,3
Zalingei,2009,0
Zalingei,2010,48
Zalingei,2011,0
Zalingei,2012,82
Zalingei,2013,74
Zalingei,2014,201
Zalingei,2015,67
